"Training Session","Í×áæÇÕàæÉÚæÏãç"
"striking a menacing pose","ÀÜåÏÖÕÈÚæÕáåÑáçÎÖæÂÖæÄÚèĞßåĞæ"
"withering away","ÖİåÔÖÙ"
"suffering","ÅÖãæÉÖå"
"Untitled","ÖçÅÕç"
"being mutilated","ÀİæÎËÕÛåÄÚè"
"being flayed","ÀİæÀŞÁÕçÇÕŞå"
"unnaturally contorted","ÀÖæÒæÑàçÄÚèÆÕßåÌ×"
"engraving","ÄÕŞÉÚæ"
"female ","Æ×åÍÕãæ "
"ghostly ","ÕßÇÕãçÄÚè "
"rotting ","ÃÖåÇàæ "
"skeletal ","ÈÖåÈÚç "
", depicted as a ",",ÂÕŞçÊÖİæÖİç "
", the deity of ",",ĞáçÄÚè "
"the deity of ","ÄÚèĞáçÍÕãæ "
"male ","ÆàçÍÕãæ "
"With ","ÅÖãç "
"View","ÏØçÉàæ"
"On ","Ğâæ "
"In ","ÒÜæ "
"Engraving ","ÄÕŞÉÚæ "
"Specify image","ËÕãæÍÕâæÖáçËÕàæ"
"View stockpile","ËÕàåĞæÏÖåÖæÌ×"
"Uses","Ğå×ãæ"
"Cannot link to ","ÖçÃØåÇÕàçËÕÛÎæ "
"will be installed at ","ËÕâÀİæàÎÖâÎæ "
"Click a building to link to ","ÄÕàåËÕÕŞæÇÕàçËÕÛÄŞæÄÚèËÕàæÎÖæ "
"Link to ","ÇÕàçËÕÛÎæ "
"Weight: ","ÎÖãæÇÕâç:"
"Value: ","ËÕØæÎç:"
"will be installed at target","ËÕâÀİæàÎÖâÎæÂÖæÀÕŞÄÕàå"
"Owner: ","ÔÖÙåÕßåÎÚå:"
"Brooding darkly...","ÊİàæÄÕæÏáçÔ......"
"Has the aspect of one fey!","ÕßåÇÕŞåÒÖÙæÕŞÄÚèÕÂÕàæ"
"Corrupt Soldier Mood: ","ÃÖåÀÜæÄÚèĞæÀÕãÍÕáÌÕãç:"
"Has a horrible fell look!","ÉàæÌÕåÇÜçÊáåÒŞÈŞ!"
"Stricken by melancholy...","ÀİæÍÕáÎÖãÕß×æËÕÉÖØåÇÕŞå..."
"Crawling around babbling!","ÄŞæÏÖåÇÖàæÁØç,ÒÖİåÇÕåÊàçÊÖÀÖæÌÕã"
"Peculiarly secretive...","ÕæÏâçÕáåÂÕæÄÚè"
"Possessed by unknown forces!","ÀİæÖİæÎÇÕæÇÕâçÔÖÙå×ãÕßå!"
"Enraged at all enemies!","ÄÖİæÔÖÙåÕßåÄÕçÑáçÄÖÏÖãÂàåÇÕŞåÃáæÆÖæ!"
"Independent","ÄÖçÇÕæ"
"Sunk into depression...","ÍÕàæÑÖæÍÕŞÅÕŞç......"
"Stumbling obliviously!","ÖçÕæÎÖãÉÚÉÚÀàæÀàæ!"
"In a martial trance!","ÒÜæË×áĞæÊÖâåÊÖ!"
"Throwing a tantrum!","ÃØÁÕçÌÕæ!"
"Beside ","Áâç "
"herself","ÅØÒæËÕå"
"Overwhelmed by horror!","ËÕãÉÖãåÖàæÃá!"
"Experiencing mortal fear!","ËÕãÇÕæÃàçÑáçÄÚèÉÖãåË×æ!"
" with grief!"," ÕáÀİÅÖãæ"
"Drowning in sadness!","ÍÕàæÑÖæÀİĞâ!"
"himself","ÅØÒæËÕå"
"itself","ÀáåĞá"
"Running around crazed!","ÁŞåÇÜçÁŞåÌ×æÃãÉÖâç!"
"In a berserk rage!","ÉÖâçÀŞæÄÚèÉÖâçÀŞæ!"
"Running around babbling!","ÇŞæÅŞÕØÕØ!"
"Crawling around crazed!","ÃãÉÖâçÄÕæÁØçÍÕãç!"
"Overcome by terror!","ÉÚæÃÖçÉÖãåÀÖæ!"
"In emotional shock!","ÈàåÌÕãçĞâæÄÚèÄØåËÕ"
"Staring off into space...","ÄÕãÎÖÙçÅÜæÉÖã......"
"Corrupt Strange Mood: ","ÃÖåÀÜæÌÕçÈÖÜæÄÚèÍÕáÌÕãç:"
"Emotionally overloaded!","ÌÕãçÍ×æÀãÉÖİæ"
"Pet of ","ÏÖãåÖæÄÚè "
"Shaken to the core!","ÄÖãæÕŞçÇÕŞåÊÚçÍÕá!"
"In existential crisis!","ĞãÔåÓÖáçÖâçÎËÕà!"
"Cannot expel or send away:","ÖçÃØåÌ×ÎÖçÊÖÙæÎÚåÈàåÒßå"
"Does the expelling","ÎçÍÕãçÌ×ÎÖç"
"Somebody","ĞÖİç"
"Creator of ","ÏÖâæÒŞæÎÚå "
"Lost in despair!","Ë×ÛçÖâæÄÕæÂÕçĞÇÕŞå!"
"Completely dismayed!","ÏÚæÄÕåËÕãÊÖâ"
"Writhing in agony!","ÅãçÄÚèÎçÄØåÈÖáå!"
"Anguished!","ÅÖãæ!ÅÜæÅÖãæÇÕŞå!"
"Wallowing in misery!","ÏáçËÕáæÒÜæÅÖãæÉÖåÎÎÖã!"
"Truly mortified!","ÎÖãËÕçÖåÑÖå!"
"Distressed!","ÉÖåÆŞå!"
"Taken by a fright!","ÀİæÍÕØæÊÖÜæÇÕŞå!"
"Expel","Ì×ÎÖç"
"Send to ","ÌÕàåÔÖãæÎæ "
"Child is nobility","ÊÜçÒåĞæÈÖİæÒÖç"
"Child is elected","ÒåÆ×åÄâÍ×àåÈÖà×àç"
"Overview","ÈÜæĞÖæ"
"Items","ÍÕâæÂÖæ"
"Send away","ÔÖãæÒßå"
"Cancel","Ì×åÍÕŞ"
"Spouse does the expelling","ÁİæßåÎçÍÕãçÌ×ÎÖç"
"Spouse is not present","ÁİæßåÂİçÕßåÒÜæÏâç"
"Nobility","ÈÖİæÒÖç"
"Holds elected office","ÄàÑáæÂÕáçÍ×àåÈÖãÎç"
"Child does the expelling","ÒåÆ×åÎçÍÕãçÌ×ÎÖç"
"Child is not present","ÒåÆ×åÂİçÕßåÒÜæÏâç"
"Spouse is nobility","ÁİæßåĞæÈÖİæÒÖç"
"Spouse is elected","ÁİæßåÄâÍ×àåÈÖà×àç"
" Old"," ÇŞå"
"Personality","ÍÕãæÈÚç"
" Year"," ÆÕàç"
"Lover: ","ÇÕàæÑáç:"
" children"," ÊÜçÒå"
"Spouse: ","Áİæßå:"
" lovers"," ÇÕàæÑáçÂáç"
"Rooms","ÃâçËÕà"
"Labor","ÈÖãÒÖÙæ"
"Health","ËÕàæÉâ"
"Skills","ËÕæÆãç"
"Military","Ë×áĞæ"
"Thoughts","ÍÕâåÃØå"
"Relations","ÈÖàÍÕæ"
"Groups","ÒÖå"
"Frail","Í×ÑÖÙæ"
"Low stamina","ÄÕÆÜæÇÕæ"
"Weak","ÑÖÙæ"
"Clumsy","ÀáæÎÖÙ"
"Good analytical ability","ÇÕâçÊŞåÄÚèÃáÍÕÆãçÇÕæ"
"Good focus","ÀÖæÓÖÙæÄÚèÎÖàÎÖæÇÕæ"
"Recovers slowly","ÊÖàåÂàæÊÖİÃÖæ"
"Sickly","ÅÕåÑÖÙæÄÖÙÀÕãæ"
"Strong","ÌÕâçÎÖâæ"
"Agile","ÂÕáåËÕÛç"
"Child: ","ÊÜçÒå:"
" pets"," ÏÖãåÖæ"
"Recovers quickly","ÉÖÜæÔÖæÊÖİÃÖæ"
"Resists sickness","ÄÕå×æËÕçÀÕãæ"
"Tough","ËÕàÈÖæÄÚè"
"High stamina","ÈŞÆÜæÇÕæ"
"High social awareness","ÌÕâçÈÖãæÌÕãçÆãçÇÕæ"
"Poor analytical ability","ÃáÍÕÆãçÇÕæÏØæ"
"High kinesthetic sense","ÈŞÄÚèÄÖãæË×Ûç"
"Developed empathy","ÅÖãçÌÕãçÍÕá"
"Not creative","ÂİçÕßåÍÕâåÍÕâæÇÕæÄÚè"
"Poor intuition","ÁÕáçÃØçÄÚèÎçË×Ûç"
"Poor focus","Ì×ÛÃØçÎÖàÎÖæ"
"Low willpower","ÕæÇÕæÄÕÍÕØæ"
"Good intuition","ÇÕâçÊŞåÄÚèÎçË×Ûç"
"Patient","ÀÕãæÊÖàæ"
"High willpower","ÈŞÕæÇÕæ"
"Creative","ÏÖâæÕæÄÚè"
"Good spatial sense","ÇÕâçÊŞåÄÚèÉÖãËÕàÈàå"
"Musical","ÕáÇÚæÄÚè"
"Good memory","ÈÖÙæÂÖæÀÖæÖâæ"
"Good with language","ÆãçÕàçĞàæÀÕàæ"
"Envious","ËÕÄÖæÄÚè"
"Cheerful","ÉÜÇâå"
"Quick to love","ÑÖãçÕæÍÕàæÑÖæÜæÊÚçÄÚè"
"Hateful","ÉÚåÊáæ"
"Anxious","ËÕŞÇ×æÄÚè"
"Lustful","ÊŞåÔÚæ"
"Depression-prone","Õæ×æÎãæ"
"Anger-prone","ÕæÆÖæ"
"Bad with words","ÀÖæĞàæÕàçÓç"
"Poor spatial sense","ÉÖãËÕàÈàåÏØæ"
"Impatient","ÂİçÕßåÆÜæÍÕáÄÚè"
"Poor memory","ËÕàæÖâæ"
"Poor empathy","Ì×ÛÃØçÅÖãçÌÕãç"
"Poor social awareness","ÑÖÙæÈÖãæÌÕãçÆãçÇÕæ"
"Not musical","ÂİçÕßåÇÚæÈàå"
"Poor kinesthetic sense","ÒŞÈŞÄÚèĞáÅÕåÈàåÎÆãçÇÕæ"
"Fearless","ÖçÖİæÄÚè"
"Overconfident","ÈÖÙæÄÖæÒæÍÕáæ"
"Polite","ÇÕåÂŞæ"
"Disdains advice","ÂÕÛæĞæËÕàæÕæ"
"Gracious","ÊÚçÜåÄÚè"
"Extravagant","ÊÖİÊÖÙæÄÚè"
"Vain","ÒæÃÖæÄÚè"
"Ambitious","ÕßåÍ×ãçÍÕáÄÚè"
"Intemperate","ÃâæÒÖãæÄÚè"
"Brawler","ÄØåĞßå"
"Easily stressed","ÑÖãçÕæËÕáåÎâ"
"Greedy","ÅàÇàçÄÚè"
"Prone to discord","ÑÖãçÕæÏàåĞãÂŞçÄÖáæ"
"Flatterer","ÃãæÏãçÎÚå"
"Stubborn","ÖàçÈÖæ"
"Wasteful","ÇâæÃİæ"
"Obstinate","ÈÖæÎç"
"Tolerant","ÀŞÑÖãçÄÚè"
"Private","ÔÑáç"
"Perfectionist","ÖàçÂİåÎÖåÕæÎÚå"
"Altruistic","ÖçÔÄÚè"
"Dutiful","ÍÕŞæĞÖáæ"
"Emotional obsessive","ÌÕâçÁÙæÎãæ"
"Swayed by emotions","ÌÕãçÍ×æÊÖØæÄÚè"
"Proud","ËÕŞŞæ"
"Cruel","ÓàçÉÖæ"
"Zany","ÊÖØçËÕÄÚè"
"Vengeful","ÃÖæÏßçÍÕáÎÖãæ"
"Curious","ÊŞåÌÕçÄÚè"
"Bashful","ÊÜæÍÕß"
"Single-minded","ÆİæÍÕáÄàÏÖáç"
"Hopeful","ÍÕÖâæ"
"Slow to love","ÆàçÕåÍÕàæÑÖæÜæÊÚçÄÚè"
"Slow to hate","ÀÖæÕæÏßçÊáæÅØÑáç"
"Inclined to abstract","ÌÕãÍÕâæ×çÏßÍÕâæÄÚè"
"Artistically inclined","ÕßåÕæĞÖæÌÕãÍÕâæÄÚè"
"Not easily depressed","ÇÚæÈÖà"
"Slow to anger","ÀÖæÌÕãÕæÄÖãæÆÖæ"
"Not envious","ÀÖæÍÕàæÂÖæ"
"Cheerless","ÇãåÇãåÌÕãÌÕã"
"Trusting","ÍÕáæÑáæÄÚè"
"Gregarious","ÊÚçÌ×áçÄÚè"
"Thoughtless","ÌÕãĞÖÜæ"
"Orderly","ÕßåÅÕŞçÇÕå"
"Thrill-seeker","ÅàæÍÕàåËÕØ"
"Flights of fancy","ÕæÍÕâåÅÕàÉÜ"
"Overbearing","ÄÖÙÄÖÙÀÕÑáç"
"Frenetic","ÉÖâçÑÚæ"
"Rude","ÓÖÇÖåÄÚè"
"Overreliant on advice","ÈÖÙæÄÖæÕÇÜæÅØÑáçÄÚèËÕàæÕæ"
"Seeks harmony","Í×áçÌÕßçÊÚçÍÕÛç"
"Quarreler","ÎãÏŞåÎÚå"
"Not vain","ÄàæÀŞçÂÕãçÇÕæ"
"Not ambitious","à×çÍÕàæÎÖâæ"
"Fearful","ÊÜæÁØæÄÚè"
"Pusillanimous","ÄàåÍÕŞåÄÚè"
"Resilient","ÕßåÄàæÍÕãæÄÚè"
"Not greedy","ÀÖæÅàÍÕá"
"Not anxious","ÀÖæËÕŞÇ×æ"
"Not lustful","ÀÖæÊŞåÔÚæ."
"Quick to give up","ÌÕãÕæÃâæÌÕæ"
"Not wasteful","ÀÖæÇâæÃİæ"
"Temperate","ÖáÄÜæ"
"Avoid fights","ÜæÊŞåÊÚçÁÕãç"
"Overshares","ÍÕåÊÖàÃáÍÕâåÒæËÕåÄÚèÕáåÔÍÕáæÍÕ"
"Inattentive","ÍÕáÀÖæÒÜæÕà"
"Incurious","ÖçÊŞåÌÕçÍÕáÄÚè"
"Shameless","ÖçÏåÄÚè"
"Emotionally distant","ÀÖæ×àæĞáËÕŞ"
"Unswayed by emotions","ÅÜæÑàçÒæÑÖÙæ"
"Acquiescing","ÂÙæÑàç"
"Intolerant","ÍÕáÍ×ãÍÕØçÎÜå"
"Humorless","ÀÖæÈßåÕàçÍÕŞæ"
"Not vengeful","ÀÖæËÕæÌÕàçÍÕàç"
"Ungrateful","ÖâæáÃÖæÕæ"
"Austere","ÉÖåÍÕãçÎÚå"
"Scatterbrained","ÍÕáÀÖæÒÜæÕà"
"Quick to despair","ÀİÈÖà"
"Low self esteem","ÒæÀİ"
"Merciful","ÑáçÓçÄÚè"
"Not inclined to abstract","ÀÖæÌÕãÍÕâæ×çÏßÍÕâæÄÚè"
"Not inclined to create art","ÀÖæÌÕãÍÕâæ×çÕæĞÖæÏÖâæÒÖÙæ"
"Avoids excitement","ÀÕæÂÕàåÈÖÙæÄÖæÍÕãÃáæ"
"Fact-oriented","ĞæĞçÄŞåÍÕâæ"
"Values family","ÎÖãæĞæËÕØÅÕãç"
"Values friendship","ÎÖãæĞæÕßåÕæ"
"Values law","ÎÖãæĞæÃØåÇ×æ"
"Values loyalty","ÎÖãæĞæÎÖãÏãç"
"Overcautious","ËÕáåÍÕŞåĞáæÖİ"
"Sloppy","ÂØåÊÖå"
"Not altruistic","ÃİÇÕæÅØÄÚè"
"Not dutiful","ÃÖÕàåÇÕŞåĞæ"
"Unassertive","ÌÕàÍ×áæ"
"Leisurely","ÓÖãçÑÖãç"
"Distrustful","ÄÖÙÕç"
"Loner","ÈÖÁÕæ"
"Values stoicism","ÎÖãæĞæÅÕàçÄàæÈÖØå×æ"
"Values introspection","ÎÖãæĞæÆİæĞãå"
"Values cooperation","ÎÖãæĞæÊÚçÒÖÙæ"
"Values independence","ÎÖãæĞæÄÖçÇÕæ"
"Values harmony","ÎÖãæĞæÊÚçÍÕÛç"
"Values merriment","ÎÖãæĞæÉÖâçÊÖà"
"Values self-control","ÎÖãæĞæÒæÖÙåÉÖãæÎæ"
"Values tranquility","ÎÖãæĞæàÆÕãç"
"Values cunning","ÎÖãæĞæÈÖİåÎØæ"
"Values eloquence","ÎÖãæĞæÉßåÓÜç"
"Values power","ÎÖãæĞæÌ×àçÇÕæ"
"Values truth","ÎÖãæĞæÎáÍÕâ"
"Values tradition","ÎÖãæĞæÏÖàçÅÖãå"
"Values artwork","ÎÖãæĞæÕæĞÖæÒÖÙæÁÕáå"
"Values fairness","ÎÖãæĞæÈÖãÁÕãç"
"Values decorum","ÎÖãæĞæÇÕåÕç"
"Values nature","ÎÖãæĞæÒæÑàç"
"Values peace","ÎÖãæĞæÊÚçÁÕãç"
"Values commerce","ÎÖãæĞæÂŞæÕæ"
"Values romance","ÎÖãæĞæÜæÌÕãç"
"Disdains loyalty","ÀÕåÌÕæÎÖãÏãç"
"Disdains family","ÀÕåÌÕæËÕØÅÕãç"
"Values knowledge","ÎÖãæĞæÎĞç"
"Disdains law","ÀÕåÌÕæÃØåÇ×æ"
"Values skill","ÎÖãæĞæËÕæÆãç"
"Values hard work","ÎÖãæĞæÌÕáçÇŞç"
"Values craftwork","ÎÖãæĞæĞßåÈÖãÕæÁÕáå"
"Values martial prowess","ÎÖãæĞæÖåÕæÈŞÌÕâç"
"Values perseverance","ÎÖãæĞæËÕàÏçÀÖæÍÕÛæ"
"Values leisure time","ÎÖãæĞæÍÕàçÍÕØçĞçÈÖâ"
"Values sacrifice","ÎÖãæĞæÍÕĞã"
"Values competition","ÎÖãæĞæËÕãæÎã"
"Disdains independence","ÀÕåÌÕæÄÖçÇÕæ"
"Disdains stoicism","ÀÕåÌÕæÅÕàçÄàæÈÖØå×æ"
"Disdains artwork","ÀÕåÌÕæÕæĞÖæÒÖÙæÁÕáå"
"Disdains cooperation","ÀÕåÌÕæÊÚçÒÖÙæ"
"Disdains tranquility","ÀÕåÌÕæàÆÕãç"
"Disdains harmony","ÀÕåÌÕæÊÚçÍÕÛç"
"Disdains introspection","ÀÕåÌÕæÒæĞãå"
"Disdains self-control","ÀÕåÌÕæÒæÇ×æ"
"Disdains truth","ÀÕåÌÕæÎáÍÕâ"
"Disdains cunning","ÀÕåÌÕæÈÖİåËÕæ"
"Disdains friendship","ÀÕåÌÕæÕßåÕæ"
"Disdains power","ÀÕåÌÕæÌ×àçÇÕæ"
"Disdains decorum","ÀÕåÌÕæÇÕåÕç"
"Disdains tradition","ÀÕåÌÕæÏÖàçÅÖãå"
"Disdains eloquence","ÀÕåÌÕæÉßåÓÜç"
"Disdains fairness","ÀÕåÌÕæÈÖãÎãæ"
"Disdains romance","ÀÕåÌÕæÜæÌÕãç"
"Disdains nature","ÀÕåÌÕæÒæÑàç"
"Disdains leisure time","ÀÕåÌÕæÍÕàçÍÕØçĞçÈÖâ"
"Disdains commerce","ÀÕåÌÕæĞâÕÛæ"
"Harrowed","ÀØæ"
"Haggard","ÉÖÈŞå"
"Disdains peace","ÀÕåÌÕæÊÚçÁÕãç"
"Disdains knowledge","ÀÕåÌÕæÎĞç"
"Disdains martial prowess","ÀÕåÌÕæÖåÕæÈŞÌÕâç"
"Disdains skill","ÀÕåÌÕæËÕæÆãç"
"Disdains merriment","ÀÕåÌÕæÉÖâçÊÖà"
"Disdains craftwork","ÀÕåÌÕæĞßåÈÖãÕæÁÕáå"
"Disdains competition","ÀÕåÌÕæËÕãæÎã"
"Disdains perseverance","ÀÕåÌÕæËÕàÏçÀÖæÍÕÛæ"
"Disdains hard work","ÀÕåÌÕæÆÖåÇÕæÈÖãÒÖÙæ"
"Disdains sacrifice","ÀÕåÌÕæÍÕĞã"
"Sluggish","ÄÜÎæ"
"Stunned","ÎáæËÕã"
"Paralyzed","ÂØçÀÕæ"
"Partially paralyzed","ÀÖæÃáÂØçÀÕæ"
"Over-exerted","ÇÕæËÕÛç"
"Tired","Çİç"
"Dizzy","Åßç×áæ"
"Exhausted","Çİç"
"Hungry","Úæ"
"Dehydrated","ÅÖÙĞÖİå"
"Stressed","ÍÕáÇÕæËÕŞÓÖİæ"
"Starving","ËÕÚæ"
"Drowsy","ÊÖáÊÖá×æĞÖİæ"
"Unconscious","ÖçÕæĞç"
"Thirsty","ÉÚå"
"Very drowsy","ÊáåÉÖáæ"
"Bleeding","ÇÕßçÍ×ÛæÄÚè"
"Webbed","ÁÖå"
"Fever","ÃØĞŞ"
"Heavy bleeding","ÄØæÇÕâçÏÖÍ×Ûæ"
"Injured","ĞßæĞâÄÚè"
"Healthy","ËÕàæÉâÄÚè"
"Partially webbed","ÀÖæÃáÀİæÖâåÏàçÎÖæÄÚè"
"Seriously injured","ÎÖãæĞâ"
"Nauseous","ÚæÍÕá"
"Extreme pain","ËÕçÄÖæÅÖãæÉÖå"
"Drowning","ÆÕæĞÖİå"
"Winded","ÑÖãåÏâç"
"Pale","ÓâÀÜç"
"Faint","ÖİÑÖÙæ"
"Pain","ÅÖãæÉÖå"
"Numb","ÂØçÂÖæ"
"Distracted","ÃáÍÕá"
"No unmet needs","Í×ÌÕßçË×áÕåÂàåÒÖç"
"Focused","ÎÖãæÄÕàå"
"Distracted!","ÃáÍÕá!"
"Pray ","ÌÕçÄŞå "
"Meditate","ÕßÔ"
"Unmet need: ","ÖİæÂàåÒÖçÍ×ÌÕßç:"
"Drink alcohol","ÕáåËÕßå"
"Haul: ","ÅÖÙÎÖÙç:"
"Squad: ","ÄÖİæ:"
"Needs ","Í×ÕŞæ "
"No official position","ÂİçÕßåÀàæÈÖãÄÕæÄÕàå"
" (Rusty)","(ĞãÍÕßæ)"
"Focused!","ÈÖàÎÖæ!"
"None","Öç"
" (V Rusty)","(ËÕçÄÖæĞãĞÖ)"
"Make merry","ËÕáæÌÕãçÊÖàÇÚæ"
"Craft object","ÈÖãÕæÄÖİæÍÕâæ"
"Uphold tradition","ËÕàÏçÏÖàçÅÖãå"
"Self-examination","ÒæÖÙåËÕàåÏØç"
"Take it easy","ÃâæÌÕãÔÖã"
"Make romance","ÒÖÙæÜæ"
"Martial training","ÖåĞÖæÍ×áæÇÕàæ"
"Practice skill","ÇÕàæÍÕçËÕæÌÕŞå"
"Admire art","ÍÕáĞâåÕæĞÖæ"
"Excitement","ËÕÄÖãæ"
"Stay occupied","ÑãçËÕßæÀİæÎàÇÕãå"
"Be creative","ÕŞæÕßåÏÖâæÕæ"
"Be with friends","ÊÚçÁãçÕßåÕÌÕå"
"Hear eloquence","ÅÕãÕàåËÕâå"
"Learn something","Í×ÛçÍÕçÂßåÖæ"
"Be with family","×åËÕØÑáçÒÜæÕÌÕå"
"Think abstractly","ÏßÍÕâæÄÕæÔÉŞå"
"Status","ÕŞæÔÜÒÖãåÇàå"
"Wander","ÂàæÀÖæ"
"Help somebody","ÀâÎÖæÂßåÑáç"
"History","ÇÕæĞå"
"Description","ÂÕŞçĞÖæ"
"Wounds","ĞâÏÖå"
"Treatment","ÎæÇÕŞç"
"Acquire object","ÊÖÙæÄÚçÖæÁÕáå"
"Eat good meal","ÏÊŞåÃàæ"
"See animal","ÏØçÉàæÄÖãæÖæ"
"See great beast","ÉàæÄŞæË×æĞßæ"
"Argue","ÎãÇÖáæ"
"Be extravagant","ÅÜæĞÚÏåÇÕŞå"
"Fight","ÎàæÄßå"
"Cause trouble","ÑÚåÂØçÃàç"
"Engineering","ÈÖãÏãçÍ×Ûç"
"Poetic form","ĞÈÚÅÕåÓÜç"
"Geography","ÄÕæÇÕå"
"Medicine","ÕÍ×Ûç"
"Manual","ĞßåÓÚæ"
"Guide","ÎåÆàç"
"Musical form","ÕáÇÚæÅÕåÓÜç"
"Dance form","ÖåÄŞåÅÕåÓÜç"
"Other skills","ÌÕçÅØËÕæÆãç"
"Philosophy","ÎÚçÍ×Ûç"
"Combat","ÎàæÄßå"
"Social","ĞÚæÊÖİæ"
"Natural history","ÒæÑàçÇÕæĞå"
"Chemistry","ÊÖØæÍ×Ûç"
"Mathematics","ĞÖæÍ×Ûç"
"Astronomy","ÅÕàÖáç"
"Choreography","ÀÕàÖå"
"Comparative biography","ÀÕåËÕŞæÏÖàçËÕæ"
"Dialog","ÄÖİæÊÖØæ"
"Musical composition","ÕáÇÚæÒÖÙæÁÕáå"
"Encyclopedia","ÀÜåÉÚÌ×àçĞÖ"
"Cultural history","ÖáçÊÖØæĞå"
"Biographical dictionary","ÏÖàçËÕæÒæÄÕàå"
"Genealogy","ËÕØÁÖå"
"Novel","ÍÕŞåĞÖÙ"
"Biography","ÏÖàç"
"Chronicle","ÀÕàÆÕàçĞå"
"Short story","ÄÖàåÁÕàÈÖæĞæ"
"Letter","ÍÕáæ"
"Essay","ÖáçÎâ"
"Autobiography","ÒæÏÖàç"
"Poem","Ğ"
"Locations","ÄÕæÄÕàå"
"Work animals","ËÕØÍ×æ"
"Work details","ÈÖãÒÖÙæÍÕæËÕÛç"
"Workshops","ÈÖãÃâ"
"Cannot assign work details","ÀÖæÆãçÃáÁİæÍÕæÊÖÙç"
"No work details","ÂİçÕßåÈÖãÒÖÙæÍÕæËÕÛç"
"Will only do assigned tasks","ÎÒÖÙæÃáÁİæÄÚèÈÖãÒÖÙæ"
"Will do available tasks anywhere","ÖàçÏãçÉÚåÎçÍÕãçÄÚèÔÖÙåÕßåÈÖãÒÖÙæ"
"Treatise on technological evolution","ÈÖà×çËÕæĞÖæËÕáæÊÖØæÄÚèÇÖáæĞÖæ"
"Dictionary","ÒæÄÕàå"
"Cultural comparison","ÖáçÊÖØæÀÕåËÕŞæ"
"Alternate history","ÅÕæÄÜæÇÕæĞå"
"Atlas","×çÅÖç"
"No assigned rooms","ÖİæÃáÁİæÄÚèÃâçËÕà"
"Star chart","ÍÕãÅÖç"
"Star catalogue","ÍÕãÀÕŞå"
"Surgeon","ÖÜæÉÚÕĞ"
"Bone doctor","ÎãæÈÖåÕĞã"
"Doctor","ÕĞã"
"Diagnostician","ÎáåÄÖàæÕĞ"
"No relationships","ÂİçÕßåÈÖàÍÕæ"
"Pet","ÏÖãåÖæ"
"Cannot assign work animals","ÖçÃØåÃáÁİæÈÖãÒÖÙæÄÖãæÖæ"
"No assigned or assignable work animals","ÖçÎåÄÕãæÊÖÙæÉÚåÎåÄÕãæÄÚèÈÖãÒÖÙæÄÖãæÖæ"
"Tavern keeper","ËÕßåÀŞå"
"Performer","ÀÕŞåÕàå"
"No dedicated workshop assignments","ÖİæÃáÁİæÎÖà×ãæÈÖãÃâ"
"No location assignments","ÖİæÃáÁİæÈÖãÒÖÙæÖİæÎæ"
"Mercenary","×ãÀÕã"
"Monster slayer","ÈÖÜæÖæĞØĞßå"
"Scholar","Í×ÛçÎÚå"
"Scribe","ÇÕæ"
"Fellow scholar","ÕàçËÕß×àç"
"Fellow artist","ÕæĞÖæËÕØ"
"War buddy","ÎàæÕßå"
"Obsession","ÏÂÕç"
"Close friend","ÌÕáÂÕæÄÚèÁãçÕßå"
"Friend","ÁãçÕßå"
"Fellow athlete","×áæÄÖãæ×àç"
"Kindred spirit","ÅÖãçÎæ"
"Mother","ÂÖåÌÕá"
"Father","ÃÖæÌÕá"
"Pet owner","ÏÖãåÖæÎÖåÑáç"
"Spouse","ÀàæÇ×æ"
"Bonded","ÌÕáÂÕæÄÚè"
"Childhood friend","äçĞçÄÚèÁãçÕßå"
"Lover","ÇÕàæÑáç"
"Child","äçÅÖãç"
"Deity","ĞáçÌÕç"
"Object of worship","ÏÖãçÀÜæÄÖİæÍÕâæ"
"Hated","ÅŞåÕàæ"
"Disliked","ÀÖæÍÕåÊÖà"
"Hero","ÕãÍ×ãç"
"Intruder","ÌÕáÑÖæÎÚå"
"Long-term acquaintance","ÇŞåÁãçÕßå"
"Passing acquaintance","ÁÖåÅÖãÁãçÕßå"
"Persecutor","Æ×ÛæÄÜæÎÚå"
"Religious persecutor","ÒÖãËÕŞæÁÙæÊÜæÎÚå"
"Athletic rival","×áæÄÖãæËÕãæÎãÄÖİæĞßå"
"Business rival","ĞâÕÛæËÕãæÎãÄÖİæĞßå"
"Supernatural vengeance","ÇÕãçÕæÃÖæÏßç"
"Pure hate","ÃİÏâçÅŞåÕàæ"
"Grudge","×àæÊáæ"
"Jealous grudge","ËÕÊáæ"
"Good for business","ÄÖİæÂÜåÂÜæÕßåÇÕæ"
"Friendly terms","ÕßåĞàæÄÚèÅÕŞçÉÖàå"
"Considers violent","ËÕãĞáçÀŞæÇÕæ"
"Considers psychotic","ËÕãĞáçÀÕãæ"
"Comrade","ÅÖãçÎæ"
"Member of respected group","ĞßæÑáçÒÖáËÕãæÄÚèÅÖàçÅÕåÎÖãÄÚèÏãç×àç"
"Considers killer","ĞØĞßå"
"Considers murderer","ÂßçĞØÃàæ"
"Considers bully","ÉàæÒÖÙæÖİçÚæÀØæ"
"Considers preacher","ÏÖàçËÕŞæĞæ"
"Considers monster","ÈÖÜæÖæ"
"Considers brigand","ĞàÒİç"
"Considers bard","ÕáçÕßçĞÑáç"
"Considers dancer","ÖåÎÚå"
"Considers storyteller","ĞÖÙĞÖÑáç"
"Considers poet","ĞÑáç"
